Variant,mR1273/mR1273,BNT/BNT,AZ/BNT,AZ/AZ,Anc. virus conv.,alpha/alpha+E484K conv.,beta conv.,delta conv.,BA.1 conv.,BA.2 conv.,BA.5 conv.,CK.2.1.1 conv.
D614G,10,11,10,10,10,9,6,5,14,10,1,2
B.1.1.7,10,11,10,10,10,9,6,5,14,10,,
B.1.1.7+E484K,10,11,10,10,10,9,6,5,14,10,,
B.1.351,10,11,10,10,10,9,6,5,14,10,1,2
P.1.1,10,11,10,10,10,9,6,5,14,10,,
B.1.617.2,10,11,10,10,10,9,6,5,14,10,1,2
BA.1,10,11,10,10,10,9,6,5,14,10,1,2
BA.2,10,11,10,10,10,9,6,5,14,10,1,2
CB.1,,6,,,5,9,3,5,13,10,1,2
BR.3,,6,,,5,9,3,5,13,10,1,2
CH.1.1,,6,,,5,9,3,5,13,10,1,2
BA.5.3.2,10,11,10,10,10,9,6,5,14,10,1,2
BA.5.2.1,,6,,,5,9,3,5,13,10,1,2
BE.1.1,,6,,,5,9,3,5,13,10,1,2
BF.7,,6,,,5,9,3,5,13,10,1,2
BQ.1.3,,6,,,5,9,3,5,13,10,1,2
BQ.1.1,,6,,,5,9,3,5,13,10,1,2
BQ.1.18,,6,,,5,9,3,5,13,10,1,2
XBB.1,,6,,,5,9,3,5,13,10,1,2
XBB.1.5,,6,,,5,9,3,5,13,10,1,2
XBF.3,,6,,,5,9,3,5,13,10,1,2